Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Network,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
Prof,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Portugal,Member,Agriculture
Prof,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Norway,Member,Agriculture
(Chief),Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Norway,Member,Meteorology
Dr,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Japan,Member,Agriculture
Prof,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Germany,Member,Agriculture
,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Great Britain,Member,Agriculture
Prof,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
(Chief),Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,USA,Member,Meteorology
,Kiroff,Kiro T. ,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Bulgaria,Member,Meteorology
Dr,Knoch,Karl,1883,1972,Prussian Meteorological Institute,Berlin,Berlin,Germany,Germany,Germany,Member,Meteorology
Prof Dr (Climatology),Koloskov,Pavel Ivanovic ,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,USSR,Russia,Member,Meteorology
,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
"Prof
(Director)",Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,France,Member,Meteorology
Dr,Melander,Gustaf,1861,1938,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
"Prof
(Director)",Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Switzerland,Member,Meteorology
(Director),Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,Great Britain (India),Great Britain,India,Member,Meteorology
Captain,Nuño,Waldo,,1935,Chilean Meteorological Office,Santiago de Chile,Santiago de Chile,Chile,Chile,Chile,Member,Meteorology
"Prof Dr
(Director)",Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Japan,Member,Meteorology
,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Canada,Member,Meteorology
(Inspecteur général),Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,France,Member,Agriculture
Prof Ing,Sabucedo del Arenal,Serafin,1889,1976,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Spain,Member,Agriculture
"Ingénieur agronome
(Section Director)",Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,France,Member,Agriculture
Prof Dr,Schmidt,Wilhelm Mathäus,1883,1936,Academy for Natural Resources,Vienna,Vienna,Austria,Austria,Austria,Secretary,Meteorology
Prof Dr,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,USSR,Russia,Member,Meteorology
"Prof Dr
(Director)",Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Germany,Member,Meteorology
"(Former director of the Meteorological Office, London)",Shaw,William Napier,1854,1945,,London,London,Great Britain,Great Britain,Great Britain,Member,Meteorology
Dr,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Canada,Member,Agriculture
(Director),Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Great Britain,Member,Meteorology
"Prof Agr
(Director)",Sophoterow,Nikolai Kvintilianovich,1881,1935,Ukranian Meteorological and Hydrological Office,Kiev,Kiev,USSR,USSR,Ukraine,Member,
(Chief),Stewart,Charles M.,,,South African Meteorological Institute,Pretoria,Pretoria,South Africa,South Africa,South Africa,Member,Meteorology
Dr,Taylor,Thomas Griffith,1880,1963,"Geography Department, University of Sydney",Sydney,Sydney,Australia,Australia,Australia,Member,Geography
"Dr
(Director)",Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Sweden,President,Meteorology
(Director),Walter,Albert,1877,1972,British East African Meteorological Service,Nairobi,Nairobi,Great Britain (Kenya),Great Britain,Kenya,Member,Meteorology
(Chief),Wehrlé,Philippe,1890,1965,"French Meteorological Service, Forecasting section",Paris,Paris,France,France,France,Member,Meteorology
(Director),Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,France,Member,Agriculture
Prof,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,The Netherlands,Member,Agriculture
